explorer,model, mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
adaptive RWMH,"funnel2",-0.17229001485338452,0.016642452665335296,0.877999418,0.0,131068,0,79.11994260888278,4.100131660987168,0.05096591082491531,0.0,15,0.05301093816469917
adaptive MALA,"funnel2",-0.0528010357731908,4.532400888627349e-5,0.41381800300000005,0.0,131068,65534,68.3653058333157,4.136249676298946,0.63873291015625,0.1,15,0.35150024196283103
NUTS,"funnel2",1.8949853039234343e8,7.18193845223872e16,14.104467998999999,0.0,131068,13368063,66.16166288970655,0.9139212747457984,0.8278088209893624,0.23605712785138522,15,0.49275908479986325
DRHMC,"funnel2",3.139762466128478,16.94309776245092,120.98178221,0.0,218668,2135850,76.3439134425733,3.8458568798052255,0.99371337890625,0.1,15,0.26149257546908683
AutoStep RWMH,"funnel2",-0.403830043742967,0.2187417338523942,0.947148999,0.2889862060546839,2412183,1465710,71.86483249163352,4.043916810344484,0.6011390452761382,0.11581978374338486,15,0.14607974263500392
AutoStep MALA,"funnel2",0.09690885530916503,0.0850441134112356,2.872764252,0.22683715820312456,2154524,473097,74.32345821237155,2.224310039372131,0.5962386892049829,0.10716406120762167,15,0.0965434002374076
HitAndRunSlicer,"funnel2",-0.003825259167244676,1.1088409891958548,2.660510917,0.0,5211745,3012173,78.48286991056165,7.483617169456915,1.0,10.0,15,0.8306631205564
adaptive RWMH,"funnel2",9.445634329856285,168.71733562208067,0.130230541,0.0,131068,0,66.45900566792957,4.659128419698612,0.06100650044251839,0.0,15,0.054535900446949656
adaptive MALA,"funnel2",-0.07516290077913715,0.0102368554932856,0.251947417,0.0,131068,65534,94.07632049388114,3.8831538358697855,0.586181640625,0.1,15,0.34266034996460815
NUTS,"funnel2",1.42006705257303e11,4.033180867457448e22,5.227058333999999,0.0,131068,4732425,87.01795533318432,1.3366733778929487,0.47993429804742455,0.3721495367553499,15,0.45202018103273295
DRHMC,"funnel2",-0.20538000764694103,0.10036407295009228,131.387698625,0.0,250172,2341160,88.8850236817297,3.829172826826653,0.9923095703125,0.1,15,0.30896688129470345
AutoStep RWMH,"funnel2",-0.1317478826534535,0.21786077567449041,0.568459336,0.321182250976564,1317406,658256,69.74276888114655,5.087185014616695,0.47752202512396913,0.01585372400360186,15,0.15754406096295653
AutoStep MALA,"funnel2",-0.06019702662493216,0.14413119557656054,2.697981665,0.21020507812500033,2220700,489641,75.7984469658029,4.573021438009618,0.5859533922939728,0.04715340813339772,15,0.1304019766214915
HitAndRunSlicer,"funnel2",0.4510699934717358,0.806754097436852,2.188719748,0.0,4988890,2761086,108.35627896211996,4.148631734284449,1.0,10.0,15,0.8906031761540905
adaptive RWMH,"funnel2",-1.7200344464996804,9.65980033112827,0.165197917,0.0,131068,0,68.88197793270064,4.134023248681645,0.039826654866176335,0.0,15,0.04163311315313835
adaptive MALA,"funnel2",-0.0976826633246257,0.0009709248192491049,0.249601544,0.0,131068,65534,95.02109456950836,3.865095751558736,0.579681396484375,0.1,15,0.3405961176150305
NUTS,"funnel2",4.5190435087549037e8,4.084350809524722e17,11.260627668000001,0.0,131068,10893286,66.81291381705924,1.3340425363778046,0.8839361066542571,0.08535954443016269,15,0.5307211279924386
DRHMC,"funnel2",19.80098138778062,759.4646824456069,127.299368751,0.0,269228,2517020,65.95281418058798,4.064763012179404,0.992919921875,0.1,15,0.42854200367208484
AutoStep RWMH,"funnel2",1.4017082488808408,0.026550356400916204,0.538628543,0.22084045410156328,1117331,540435,66.8573444925222,0.8686549217988314,0.5547486344081919,0.17162557105083867,15,0.19956419017795304
AutoStep MALA,"funnel2",-0.7084915516731491,0.05818206075327339,1932.92241625,5.898215598476273,5417384,1288812,69.18713439460439,2.488334511540906,0.5318968220309342,0.024137346399174572,15,0.027101370386864974
HitAndRunSlicer,"funnel2",0.6200808964001248,0.9691745902525578,2.185495417,0.0,4766567,2599862,77.75925133987387,3.396994500399622,0.9999898275774358,10.0,15,0.8838055255128375
adaptive RWMH,"funnel2",-0.40043170221612323,0.3298235771671888,0.133662498,0.0,131068,0,67.89510808114623,3.927887780981271,0.018707846308786278,0.0,15,0.01974946193974068
adaptive MALA,"funnel2",-0.07437489649678333,0.011388627908623621,0.29818070799999996,0.0,131068,65534,79.20298978044596,3.8765006220720637,0.545562744140625,0.1,15,0.3225515402641435
NUTS,"funnel2",1.5621327254950134e6,4.880507366109718e12,7.831682542999999,0.0,131068,6980769,70.03046517416591,1.595994421552134,0.6799942117134106,0.20012943523330212,15,0.5144996308321702
DRHMC,"funnel2",-0.08696558290640301,0.024069275777168046,128.950130834,0.0,252628,2371210,69.94143160341987,4.124707715708786,0.989227294921875,0.1,15,0.42422509851290335
AutoStep RWMH,"funnel2",0.07922297235403522,0.23049981977168718,0.5709537499999999,0.31909179687499833,1224049,652103,73.19085700488498,4.336929526930137,0.4600525456664191,0.010249903591967252,15,0.1645678961198537
AutoStep MALA,"funnel2",-0.0040722606049222905,0.09662523501791381,2.592480791,0.21693420410156297,2174080,477986,74.93322014339452,3.346537251192817,0.5909696895764582,0.08743253050447018,15,0.1230468366288032
HitAndRunSlicer,"funnel2",0.4577773089278875,0.8685916615537069,2.033137791,0.0,5003232,2529275,78.25415737952373,4.229954849529313,0.9999898275774409,10.0,15,0.8565376431975894
adaptive RWMH,"funnel2",6.397430571209974,75.46120236310466,0.129048627,0.0,131068,0,68.73598143840357,3.8820236252117972,0.02316354869228187,0.0,15,0.02281460848937689
adaptive MALA,"funnel2",-0.03672630917284959,0.04346920465424482,0.247320749,0.0,131068,65534,70.18151925819694,3.99442919525185,0.568084716796875,0.1,15,0.3249189087202316
NUTS,"funnel2",-2.124190232070946e10,9.024368286272696e20,3.408718833,0.0,131068,2768114,77.56356183015828,1.261550195253826,0.4913598187510065,0.7435562273109722,15,0.475112346345149
DRHMC,"funnel2",-0.13750386404471415,0.08635582751214811,136.696893918,0.0,272776,2498920,87.54665335727489,4.056281923434141,0.990875244140625,0.1,15,0.40051212301810685
AutoStep RWMH,"funnel2",-0.702301991622154,0.1763931432424636,1.063528375,0.2889404296875022,2870013,1795122,79.9594018087665,3.406949609470749,0.6000337037466298,0.10563362981171295,15,0.14160637144934152
AutoStep MALA,"funnel2",0.09508327810984592,0.15183382840718312,2.642092124,0.21363830566406153,2001940,434951,72.71774328151787,3.1805048054715077,0.5971304109163055,0.055079431180959496,15,0.12129134964591519
HitAndRunSlicer,"funnel2",0.41596212553311346,1.1205934285476828,2.421956001,0.0,5826509,3198679,78.40524853150711,4.835780275531767,1.0,10.0,15,0.8463328565900544
adaptive RWMH,"funnel2",-0.32502531520264977,0.2101354969175021,0.128876959,0.0,131068,0,72.11001479689557,4.275584708094998,0.06054872280037843,0.0,15,0.061530728684758236
adaptive MALA,"funnel2",-0.04783831323772073,0.0006121047323561461,0.44968945699999996,0.0,131068,65534,88.02817726720959,3.820672893629972,0.527313232421875,0.1,15,0.30159133784216174
NUTS,"funnel2",-0.9558482429376419,1.8272917223817917,47.123447291,0.0,131068,48054607,65.87603881262517,1.386154121517709,0.8268491571799508,2.298659538345892e-6,15,0.4917614035447278
DRHMC,"funnel2",1.4895909516567498,4.191089338927463,141.877623752,0.0,286312,2595050,67.93411620364172,4.109485090809205,0.991729736328125,0.1,15,0.4109683021560499
AutoStep RWMH,"funnel2",0.17000484827107457,0.21523007652318701,0.586255043,0.2810516357421868,1183604,602461,72.7493733423215,2.981536140760843,0.5097746956577759,0.0257508552740253,15,0.17644034697754735
