explorer,model,seed,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
AutoStep MALA,kilpisjarvi,1,0.5320444309032382,4.6137415251941305e-18,31.321577168,0.0,382967,765934,48.673282180056816,0.905872099044581,0.12200927734375,5.820766091346741e-11,15,0.008368729113956953
adaptive MALA,kilpisjarvi,1,0.0,0.0,3.47303371,0.0,131068,65534,49.30537025507172,0.8107963242093131,3.0517578125e-5,0.1,15,Inf
NUTS,kilpisjarvi,1,0.7332704429735631,0.4023710506300778,41.383493582,0.0,131068,1855250,47.244125652452645,2.1945460018957528,0.8933410574880165,0.014044916367720487,15,0.47163035902372213
DRHMC,kilpisjarvi,1,-521700.0845760715,8.250046532050702e11,162.449176999,0.0,262132,1310665,6.817133095243603e-8,1.2968653554203464,6.103515625e-5,0.1,15,3.639857111624171
AutoStep MALA,kilpisjarvi,2,-0.08335831074597137,3.1387266590088256e-12,25.151269373999998,0.0,363383,726766,49.70881407956887,1.0037046052098124,0.152587890625,1.1920930376163597e-7,15,0.013236845194625986
adaptive MALA,kilpisjarvi,2,0.0,0.0,2.785553752,0.0,131068,65534,49.48957242055695,0.8329368413753533,3.0517578125e-5,0.1,15,Inf
NUTS,kilpisjarvi,2,0.16418734955565853,0.7308492172452934,37.770666627,0.0,131068,1812642,50.6663566976987,3.009583789764895,0.8918373196748788,0.014405306574089886,15,0.4840377902340331
DRHMC,kilpisjarvi,2,13750.039704810682,4.3992989274262035e8,162.535114793,0.0,262132,1310665,0.00011739406462588239,0.8396532884703914,0.0098876953125,0.1,15,19.697999178801165
AutoStep MALA,kilpisjarvi,3,-0.8976126682180272,3.9533616676374e-12,25.543371249000003,0.0,373724,747448,51.130524460184674,1.1899337474989058,0.124969482421875,5.960464477539063e-8,15,0.008994562768639584
adaptive MALA,kilpisjarvi,3,0.0,0.0,2.729782251,0.0,131068,65534,49.35400911525578,0.9591140385132109,3.0517578125e-5,0.1,15,NaN
NUTS,kilpisjarvi,3,0.39696428416673957,0.4719083822821419,38.329109332,0.0,131068,1836952,49.21014764647692,2.6427055268929602,0.8590914254730074,0.015356798800841353,15,0.4858641220496056
DRHMC,kilpisjarvi,3,-63047.96178657127,1.293826062756071e10,163.10199775,0.0,262132,1310665,4.452869698699707e-6,0.754693829460248,0.0009765625,0.1,15,12.008186231449459
AutoStep MALA,kilpisjarvi,4,-0.024671094043976084,2.1765172062996853e-12,24.416784457,0.0,353819,707638,49.60864316139554,1.252979002975207,0.171112060546875,5.960464477539063e-8,15,0.01701556793643086
adaptive MALA,kilpisjarvi,4,0.0,0.0,2.735989211,0.0,131068,65534,49.79434917514437,0.8433956222698994,3.0517578125e-5,0.1,15,NaN
NUTS,kilpisjarvi,4,1.0723655478750311,1.0449614260731028,37.101938583,0.0,131068,1783275,45.528242084307315,2.1016704703081093,0.7921018377756557,0.01772541054282223,15,0.5196705437102311
DRHMC,kilpisjarvi,4,129300.86106378892,4.8793536590551346e10,163.671414583,0.0,262132,1310665,1.1378253400055417e-6,0.8909751580049559,0.00048828125,0.1,15,11.985039448741372
